Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
08560938000124002,2024,260940,PE,Moreno,Ubs Alto de Santo Antônio,Unidade Básica de Saúde,I,Em início de execução,12/29/2025,0,,26,,Em início de execução,Média,,,,,,,
09814269000125003,2025,260950,PE,Nazaré da Mata,Ubs Maracatus,Unidade Básica de Saúde,I,Em início de execução,4/10/2026,4,3/16/2027,45,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
11434981000125002,2025,260990,PE,Ouricuri,Ubs Capela de São Braz,Unidade Básica de Saúde,I,Em execução e conclusão,4/27/2026,30,3/20/2027,9,,Em execução e conclusão,Baixa,,,,,,,
00562279000125010,2025,261000,PE,Palmares,Ubs Ironeide Oliveira da Silva,Unidade Básica de Saúde,I,Em início de execução,2/24/2026,30,10/26/2026,104,,Em início de execução,Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar SISMOB 1 vez por mês",,,,,,
07868234000125003,2025,261060,PE,Paudalho,Ubs Residencial Guadalajara,Unidade Básica de Saúde,I,Em início de execução,2/24/2026,5,2/27/2027,82,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
09251115000125002,2025,261070,PE,Paulista,Ubs Jaguaribe,Unidade Básica de Saúde,I,Em execução e conclusão,4/8/2026,36,4/1/2027,34,,Em execução e conclusão,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
08201607000125003,2025,261080,PE,Pedra,Usf Joao Galino,Unidade Básica de Saúde,I,Em início de execução,6/12/2026,3,2/8/2027,2,,Em início de execução,Baixa,,,,,,,
10488181000125001,2025,261090,PE,Pesqueira,Unidade Basica de Saúde Portal,Unidade Básica de Saúde,I,Em início de execução,4/6/2026,0,12/25/2026,19,,Em início de execução,Baixa,,,,,,,
10410787000124002,2024,261100,PE,Petrolândia,Ubs Antonio Firmino da Silva,Unidade Básica de Saúde,I,Em execução e conclusão,9/16/2025,33,4/13/2026,143,6/30/2026,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
06914894000124009,2024,261110,PE,Petrolina,Ubs João José Araújo,Unidade Básica de Saúde,III,Em execução e conclusão,11/4/2025,45,9/20/2026,11,,Em execução e conclusão,Média,,,,,,,
